Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
1461,20,5,80,11622,1,1.8758,1,1,1,1,1,1,2,1,1,1,5,6,1961,1961,1,1,1,1,1,0,1,1,2,1,1,1,4,468,3,144,270,882,1,2,1,1,896,0,0,896,0,0,1,0,2,1,1,5,1,0,1.1164,1,1961,1,1,730,1,1,1,140,0,0,0,120,0,0.9977,1,1.2406,0,6,2010,1,1
1462,20,1,81,14267,1,0.36465,2,1,1,2,1,1,1,1,1,1,6,6,1958,1958,2,1,4,4,2,108,1,1,2,1,1,1,3,923,1,0,406,1329,1,2,1,1,1329,0,0,1329,0,0,1,1,3,1,2,6,1,0,0.80558,1,1958,1,1,312,1,1,1,393,36,0,0,0,0,1.0448,-0.44109,2,12500,6,2010,1,1
1463,60,1,74,13830,1,0.96904,2,1,1,1,1,7,1,1,1,2,5,5,1997,1998,1,1,1,1,1,0,1,1,1,2,1,1,1,791,1,0,137,928,1,3,1,1,928,701,0,1629,0,0,2,1,3,1,1,6,1,1,2,1,1997,3,2,482,1,1,1,212,34,0,0,0,0,1.0003,1,0.83915,0,3,2010,1,1
1464,60,1,78,9978,1,1.0988,2,1,1,1,1,7,1,1,1,2,6,6,1998,1998,1,1,1,1,2,20,1,1,1,1,1,1,1,602,1,0,324,926,1,1,1,1,926,678,0,1604,0,0,2,1,3,1,2,7,1,1,1,1,1998,3,2,470,1,1,1,360,36,0,0,0,0,1.0167,1.0423,0.99802,0,6,2010,1,1
1465,120,1,43,5005,1,1.5075,2,2,1,1,1,17,1,1,2,1,8,5,1992,1992,1,1,3,3,1,0,2,1,1,2,1,1,3,263,1,0,1017,1280,1,1,1,1,1280,0,0,1280,0,0,2,0,2,1,2,5,1,0,-0.53092,1,1992,2,2,506,1,1,1,0,82,0,0,144,0,0.96856,1.1319,1.2637,0,1,2010,1,1
1466,60,1,75,10000,1,0.92758,2,1,1,2,1,7,1,1,1,2,6,5,1993,1994,1,1,3,3,1,0,1,1,1,2,1,1,2,0,1,0,763,763,1,3,1,1,763,892,0,1655,0,0,2,1,3,1,1,7,1,1,2,1,1993,3,2,440,1,1,1,157,84,0,0,0,0,1.0127,1.821,0.94181,0,4,2010,1,1
1467,20,1,59.969,7980,1,0.95758,2,1,1,1,1,7,1,1,1,1,6,7,1992,2007,1,1,3,3,1,0,1,2,1,2,1,1,3,935,1,0,233,1168,1,1,1,1,1187,0,0,1187,1,0,2,0,3,1,1,6,1,0,-0.83183,1,1992,3,2,420,1,1,1,483,21,0,0,0,0,0.99986,2,1,500,3,2010,1,1
1468,60,1,63,8402,1,1.0454,2,1,1,1,1,7,1,1,1,2,6,5,1998,1998,1,1,1,1,1,0,1,1,1,2,1,1,2,0,1,0,789,789,1,3,1,1,789,676,0,1465,0,0,2,1,3,1,1,7,1,1,1,1,1998,3,2,393,1,1,1,0,75,0,0,0,0,1.0096,2.0505,0.99041,0,5,2010,1,1
1469,20,1,85,10176,1,0.84973,1,1,1,1,1,7,1,1,1,1,7,5,1990,1990,1,1,3,3,1,0,1,1,1,2,1,3,1,637,1,0,663,1300,1,3,1,1,1341,0,0,1341,1,0,1,1,2,1,2,5,1,1,4,1,1990,1,2,506,1,1,1,192,0,0,0,0,0,0.98424,1.8708,0.74891,0,2,2010,1,1
1470,20,1,70,8400,1,0.90186,1,1,1,2,1,1,1,1,1,1,4,5,1970,1970,1,1,5,5,1,0,1,1,2,1,1,1,3,804,2,78,0,882,1,2,1,1,882,0,0,882,1,0,1,0,2,1,1,4,1,0,1.5774,1,1970,3,2,525,1,1,1,240,0,0,0,0,0,0.99735,1,0.94525,0,4,2010,1,1
