Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,191004,65.0,8450,181130,164754,180183,180950,176938,179956,197965,184495,181169,185763,210051,7,5,2003,2003,171483,179803,213732,214432,204691.0,196.0,231633,184034,225230,202688.0,183632.0,165652.0,235413.0,706,184694.0,0,150,856,182021,214914,186186,186825.0,856,854,0,1710,1,0,2,1,3,1,212116,8,183429,0,202892.0,2003.0,202068.0,2,548,187489.0,187885.0,186433,0,61,0,0,0,0,0,2,2008,173401,175202,208500
2,20,191004,80.0,9600,181130,164754,180183,180950,177934,179956,238772,142475,181169,185763,175985,6,8,1976,1976,171483,179803,149422,149803,156221.0,0.0,144341,184034,149805,202688.0,183632.0,257689.0,161573.0,978,184694.0,0,284,1262,182021,214914,186186,186825.0,1262,0,0,1262,0,1,2,0,3,1,139962,6,183429,1,202892.0,1976.0,202068.0,2,460,187489.0,187885.0,186433,298,0,0,0,0,0,0,5,2007,173401,175202,181500
3,60,191004,68.0,11250,181130,206101,180183,180950,176938,179956,197965,184495,181169,185763,210051,7,5,2001,2002,171483,179803,213732,214432,204691.0,162.0,231633,184034,225230,202688.0,183632.0,192789.0,235413.0,486,184694.0,0,434,920,182021,214914,186186,186825.0,920,866,0,1786,1,0,2,1,3,1,212116,6,183429,1,202892.0,2001.0,202068.0,2,608,187489.0,187885.0,186433,0,42,0,0,0,0,0,9,2008,173401,175202,223500
4,70,191004,60.0,9550,181130,206101,180183,180950,181623,179956,210624,184495,181169,185763,210051,7,5,1915,1970,171483,179803,149841,161328,156221.0,0.0,144341,184034,132291,140759.0,213599.0,165652.0,161573.0,216,184694.0,0,540,756,182021,156858,186186,186825.0,961,756,0,1717,1,0,1,0,3,1,212116,7,183429,1,134091.0,1998.0,142156.0,3,642,187489.0,187885.0,186433,0,35,272,0,0,0,0,2,2006,173401,146526,140000
5,60,191004,84.0,14260,181130,206101,180183,180950,177934,179956,335295,184495,181169,185763,210051,8,5,2000,2000,171483,179803,213732,214432,204691.0,350.0,231633,184034,225230,202688.0,183632.0,206643.0,235413.0,655,184694.0,0,490,1145,182021,214914,186186,186825.0,1145,1053,0,2198,1,0,2,1,4,1,212116,9,183429,1,202892.0,2000.0,202068.0,3,836,187489.0,187885.0,186433,192,84,0,0,0,0,0,12,2008,173401,175202,250000
6,50,191004,85.0,14115,181130,206101,180183,180950,176938,179956,156270,184495,181169,185763,143116,5,5,1993,1995,171483,179803,213732,214432,156221.0,0.0,144341,184034,185666,202688.0,183632.0,165652.0,235413.0,732,184694.0,0,64,796,182021,214914,186186,186825.0,796,566,0,1362,1,0,1,1,1,1,139962,5,183429,0,202892.0,1993.0,142156.0,2,480,187489.0,187885.0,186433,40,30,0,320,0,0,700,10,2009,173401,175202,143000
7,20,191004,75.0,10084,181130,164754,180183,180950,176938,179956,225379,184495,181169,185763,175985,8,5,2004,2005,171483,179803,213732,214432,265583.0,186.0,231633,184034,225230,327041.0,183632.0,206643.0,235413.0,1369,184694.0,0,317,1686,182021,214914,186186,186825.0,1694,0,0,1694,1,0,2,0,3,1,212116,7,183429,1,202892.0,2004.0,202068.0,2,636,187489.0,187885.0,186433,255,57,0,0,0,0,0,8,2007,173401,175202,307000
8,60,191004,60.0,10382,181130,206101,180183,180950,181623,179956,189050,215184,181169,185763,210051,7,6,1973,1973,171483,179803,163077,167661,265583.0,240.0,144341,184034,149805,202688.0,183632.0,192789.0,161573.0,859,151101.0,32,216,1107,182021,214914,186186,186825.0,1107,983,0,2090,1,0,2,1,3,1,139962,7,183429,2,202892.0,1973.0,202068.0,2,484,187489.0,187885.0,186433,235,204,228,0,0,0,350,11,2009,173401,175202,200000
9,50,126316,51.0,6120,181130,164754,180183,180950,176938,179956,128225,135091,181169,185763,143116,7,5,1931,1950,171483,179803,194573,161328,156221.0,0.0,144341,184034,132291,140759.0,183632.0,165652.0,170670.0,0,184694.0,0,952,952,182021,156858,186186,107675.0,1022,752,0,1774,0,0,2,0,2,2,139962,8,146385,2,134091.0,1931.0,142156.0,2,468,123573.0,187885.0,186433,90,0,205,0,0,0,0,4,2008,173401,146526,129900
10,190,191004,50.0,7420,181130,164754,180183,180950,181623,179956,124834,135091,106500,128432,110150,5,6,1939,1950,171483,179803,149422,149803,156221.0,0.0,144341,184034,132291,140759.0,183632.0,165652.0,235413.0,851,184694.0,0,140,991,182021,214914,186186,186825.0,1077,0,0,1077,1,0,1,0,2,2,139962,5,183429,2,202892.0,1939.0,202068.0,1,205,215860.0,187885.0,186433,0,4,0,0,0,0,0,1,2008,173401,175202,118000
11,20,191004,70.0,11200,181130,164754,180183,180950,176938,179956,136793,184495,181169,185763,175985,5,5,1965,1965,218876,179803,163077,167661,156221.0,0.0,144341,184034,149805,140759.0,183632.0,165652.0,146889.0,906,184694.0,0,134,1040,182021,214914,186186,186825.0,1040,0,0,1040,1,0,1,0,3,1,139962,5,183429,0,134091.0,1965.0,142156.0,1,384,187489.0,187885.0,186433,0,0,0,0,0,0,0,2,2008,173401,175202,129500
12,60,191004,85.0,11924,181130,206101,180183,180950,176938,179956,316270,184495,181169,185763,210051,9,5,2005,2006,218876,179803,150655,161328,265583.0,286.0,367360,184034,225230,327041.0,183632.0,165652.0,235413.0,998,184694.0,0,177,1175,182021,214914,186186,186825.0,1182,1142,0,2324,1,0,3,0,4,1,328554,11,183429,2,254751.0,2005.0,240052.0,3,736,187489.0,187885.0,186433,147,21,0,0,0,0,0,7,2006,274945,272291,345000
13,20,191004,60.0,12968,181130,239833,180183,180950,176938,179956,136793,184495,181169,185763,175985,5,6,1962,1962,218876,179803,163077,168112,156221.0,0.0,144341,184034,149805,140759.0,183632.0,165652.0,161573.0,737,184694.0,0,175,912,182021,142362,186186,186825.0,912,0,0,912,1,0,1,0,2,1,139962,4,183429,0,134091.0,1962.0,142156.0,1,352,187489.0,187885.0,186433,140,0,0,0,176,0,0,9,2008,173401,175202,144000
14,20,191004,91.0,10652,181130,206101,180183,180950,176938,179956,197965,184495,181169,185763,175985,7,5,2006,2007,171483,179803,213732,214432,265583.0,306.0,231633,184034,225230,202688.0,183632.0,206643.0,170670.0,0,184694.0,0,1494,1494,182021,214914,186186,186825.0,1494,0,0,1494,0,0,2,0,3,1,212116,7,183429,1,202892.0,2006.0,202068.0,3,840,187489.0,187885.0,186433,160,33,0,0,0,0,0,8,2007,274945,272291,279500
15,20,191004,60.0,10920,181130,206101,180183,180950,181623,179956,145847,184495,181169,185763,175985,6,5,1960,1960,218876,179803,149422,149803,204691.0,212.0,144341,184034,149805,140759.0,183632.0,165652.0,149493.0,733,184694.0,0,520,1253,182021,142362,186186,186825.0,1253,0,0,1253,1,0,1,1,2,1,139962,5,183429,1,202892.0,1960.0,202068.0,1,352,187489.0,187885.0,186433,0,213,176,0,0,0,0,5,2008,173401,175202,157000
16,45,126316,51.0,6120,181130,164754,180183,180950,181623,179956,124834,184495,181169,185763,110150,7,8,1929,2001,171483,179803,149841,148386,156221.0,0.0,144341,184034,132291,140759.0,183632.0,165652.0,170670.0,0,184694.0,0,832,832,182021,214914,186186,122196.0,854,0,0,854,0,0,1,0,2,1,139962,5,183429,0,134091.0,1991.0,142156.0,2,576,187489.0,187885.0,186433,48,112,0,0,0,0,0,7,2007,173401,175202,132000
