Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,1,65,8450,1,1.1771,1,1,1,1,1,2,1,1,1,2,7,5,2003,2003,1,1,1,1,2,196,2,1,1,2,1,1,2,706,1,0,150,856,1,1,1,1,856,854,0,1710,1,0,2,1,3,1,2,8,1,0,-0.61893,1,2003,2,2,548,1,1,1,0,61,0,0,0,0,1.2034,1.5898,1.1156,0,2,2008,1,1,208500
2,20,1,80,9600,1,0.67136,1,1,1,4,1,23,2,1,1,1,6,8,1976,1976,1,1,3,2,1,0,1,1,2,2,1,3,3,978,1,0,284,1262,1,1,1,1,1262,0,0,1262,0,1,2,0,3,1,1,6,1,1,2,1,1976,2,2,460,1,1,1,298,0,0,0,0,0,0.79297,1.3981,0.74668,0,5,2007,1,1,181500
3,60,1,68,11250,1,1.0467,2,1,1,1,1,2,1,1,1,2,7,5,2001,2002,1,1,1,1,2,162,2,1,1,2,1,4,2,486,1,0,434,920,1,1,1,1,920,866,0,1786,1,0,2,1,3,1,2,6,1,1,2,1,2001,2,2,608,1,1,1,0,42,0,0,0,0,1.0374,1.0185,0.92559,0,9,2008,1,1,223500
4,70,1,60,9550,1,1.1819,2,1,1,2,1,12,1,1,1,2,7,5,1915,1970,1,1,4,7,1,0,1,1,3,1,2,1,3,216,1,0,540,756,1,3,1,1,961,756,0,1717,1,0,1,0,3,1,2,7,1,1,1,2,1998,1,3,642,1,1,1,0,35,272,0,0,0,1.1287,2.8479,0.89216,0,2,2006,1,3,140000
5,60,1,84,14260,1,0.84791,2,1,1,4,1,14,1,1,1,2,8,5,2000,2000,1,1,1,1,2,350,2,1,1,2,1,2,2,655,1,0,490,1145,1,1,1,1,1145,1053,0,2198,1,0,2,1,4,1,2,9,1,1,2,1,2000,2,3,836,1,1,1,192,84,0,0,0,0,0.95789,2.0307,0.98796,0,12,2008,1,1,250000
6,50,1,85,14115,1,0.83436,2,1,1,1,1,13,1,1,1,3,5,5,1993,1995,1,1,1,1,1,0,1,1,6,2,1,1,2,732,1,0,64,796,1,1,1,1,796,566,0,1362,1,0,1,1,1,1,1,5,1,0,1.2979,1,1993,1,2,480,1,1,1,40,30,0,320,0,0,0.98408,1,1,700,10,2009,1,1,143000
7,20,1,75,10084,1,0.91423,1,1,1,1,1,5,1,1,1,1,8,5,2004,2005,1,1,1,1,3,186,2,1,1,3,1,2,2,1369,1,0,317,1686,1,1,1,1,1694,0,0,1694,1,0,2,0,3,1,2,7,1,1,1,1,2004,2,2,636,1,1,1,255,57,0,0,0,0,1.1315,0.0058734,0.88901,0,8,2007,1,1,307000
8,60,1,59.981,10382,1,0.66716,2,1,1,2,1,9,5,1,1,2,7,6,1973,1973,1,1,2,3,3,240,1,1,2,2,1,4,3,859,4,32,216,1107,1,1,1,1,1107,983,0,2090,1,0,2,1,3,1,1,7,1,2,2,1,1973,2,2,484,1,1,1,235,204,228,0,0,0,1.0449,1.989,1,350,11,2009,1,1,200000
9,50,2,51,6120,1,1.1245,1,1,1,1,1,3,3,1,1,3,7,5,1931,1950,1,1,7,7,1,0,1,1,3,1,1,1,1,0,1,0,952,952,1,3,1,3,1022,752,0,1774,0,0,2,0,2,2,1,8,3,2,2,2,1931,1,2,468,2,1,1,90,0,205,0,0,0,0.95622,3.8157,0.99279,0,4,2008,1,3,129900
10,190,1,50,7420,1,0.92765,1,1,1,2,1,11,3,3,5,6,5,6,1939,1950,1,1,3,2,1,0,1,1,3,1,1,1,2,851,1,0,140,991,1,1,1,1,1077,0,0,1077,1,0,1,0,2,2,1,5,1,2,2,1,1939,2,1,205,3,1,1,0,4,0,0,0,0,0.70076,1.2607,0.9296,0,1,2008,1,1,118000
